Strike,BidVolP,AskVolP,BidVolC,AskVolC
1.8,0.349589,0.375973,0.429207,0.459661
1.85,0.344447,0.34816,0.350931,0.388623
1.9,0.337796,0.355757,0.344707,0.366614
1.95,0.349252,0.364804,0.361832,0.373071
2,0.338171,0.365043,0.373045,0.382259
2.05,0.334369,0.377396,0.372971,0.381967
2.1,0.283455,0.421571,0.399192,0.420206
2.15,-nan,0.531705,0.391171,0.41192
2.2,-nan,0.621328,0.411083,0.426007
2.25,-nan,1.60607,0.434393,0.450698
2.3,4.20661,1.71933,0.466299,0.499609
2.35,-nan,0.927921,0.501535,0.531468
2.4,-nan,1.13233,0.527292,0.567774
2.45,-nan,2.01866,0.573335,0.616666
2.5,2.98912,2.03213,0.61803,0.664083
2.55,4.2375,2.06354,0.661472,0.710134
2.6,-nan,2.20473,0.703746,0.732038
